EXPOCODE,Institute,END,chief_investigator,ship_records,,cruise_report_citation,EXPOCODE_synonyms,profile_citation,underway_citation,pigment_citation,POC_citation
353L20021217,Australian Antarctic Division,20030127,Simon Wright,https://secure3.aad.gov.au/public/schedules/voyage.cfm?season=0203,,,AS0203R2,,McMinn 2011,Wright 2013,
353L20030219,Australian Antarctic Division,20030304,Simon Wright,underway records,,,AS0203R4,,McMinn 2011,Wright 2013,
353L20031021,Australian Antarctic Division,20031111,Simon Wright,underway records,,,AS0304R0,,McMinn 2011,Wright 2013,
353L20031205,Australian Antarctic Division,20040101,Simon Wright,underway records,,,AS0304R1,,McMinn 2011,Wright 2013,
353L20040106,Australian Antarctic Division,20040215,Simon Wright,underway records,,,AS0304R2,,McMinn 2011,Wright 2013,
353L20040218,Australian Antarctic Division,20040304,Simon Wright,underway records,,,AS0304R3,,McMinn 2011,Wright 2013,
353L20041019,Australian Antarctic Division,20041109,Simon Wright,underway records,,,AS0405R0,,McMinn 2011,Wright 2013,
353L20051018,Australian Antarctic Division,20051108,Simon Wright,underway records,,,AS0506R0,,McMinn 2011,Wright 2013,
353L20051229,Australian Antarctic Division,20060126,Simon Wright,underway records,,,AS0506R2,,McMinn 2011,Wright 2013,
353L20060217,Australian Antarctic Division,20060302,Simon Wright,underway records,,,AS0506R4,,McMinn 2011,Wright 2013,
353L20061020,Australian Antarctic Division,20061112,Simon Wright,underway records,,,AS0607R0,,McMinn 2011,Wright 2013,
353L20070114,Australian Antarctic Division,20070215,Simon Wright,underway records,,,AS0607R2,,McMinn 2011,Wright 2013,
353L20071028,Australian Antarctic Division,20071120,Simon Wright,underway records,,,AS0708R0,,McMinn 2011,Wright 2013,
353L20071231,Australian Antarctic Division,20070126,Simon Wright,underway records,,,AS0708R2,,McMinn 2011,Wright 2013,
353L20080217,Australian Antarctic Division,20080302,Simon Wright,underway records,,,AS0708R4,,McMinn 2011,Wright 2013,
353L20081022,Australian Antarctic Division,20081111,Simon Wright,underway records,,,AS0809R0,,McMinn 2011,Wright 2013,
353L20090101,Australian Antarctic Division,20090127,Simon Wright,underway records,,,AS0809R2,,McMinn 2011,Wright 2013,
353L20090219,Australian Antarctic Division,20090304,Simon Wright,underway records,,,AS0809R4,,McMinn 2011,Wright 2013,
353L20091021,Australian Antarctic Division,20091115,Simon Wright,underway records,,,AS0910R0,,McMinn 2011,Wright 2013,
353L20100219,Australian Antarctic Division,20100305,Simon Wright,underway records,,,AS0910R4,,McMinn 2011,Wright 2013,
49NZ20031209,JAMSTEC,20040124,Masao FUFasawa,DARWIN,,,MR03-K04 Leg5,,,,
49NZ20031106,JAMSTEC,20031205,Yasushi Yoshikawa,DARWIN,,,MR03-K04 Leg4,,,,
49NZ20030803,JAMSTEC,20030905,Masao FUFasawa,DARWIN,,,MR03-K04 Leg1,,,,
49NZ20030909,JAMSTEC,20031016,Shuichi Watanabe,DARWIN,,,MR03-K04 Leg2,,,,
49NZ20170208,JAMSTEC,20170304,Akihiko Murata,DARWIN,,,MR16-09 Leg3,,,,
49NZ20031019,JAMSTEC,20031102,Naomi Harada,DARWIN,,,MR03-K04 Leg3,,,,
49NZ20040127,JAMSTEC,20040219,Masao FUFasawa,DARWIN,,,MR03-K04 Leg6,,,,
49NZ20121127,JAMSTEC,20130104,Katsuro Katsumata,DARWIN,,,MR12-05 Leg2,,,,
49NZ20130105,JAMSTEC,20130215,Hiroshi Uchida,DARWIN,,,MR12-05 Leg3,,,,
33RO20161119,,20170203,,,,,,,,,
33RO20071215,,20080223,John L Bullister; Gregory C. Johnson,CCHDO,,33RO20071215_report,RB0711,33RO20071215_prof,33RO20071215_uwy,CLIVAR,
74JC20151217,,20151229,,,,,,,,,
74JC19921026,,19921218,,,,,,,,,
74JC20190221,,,,,,,,,,,
91AA20171209,,,,,,,,,,,
91AH20170907,,20171011,,,,,,,,,
